ID | TIẾT | MỨC ĐỘ | CÂU HỎI | ĐÁP ÁN ĐÚNG | CÁC ĐÁP ÁN NHIỄU KHÁC (CÁCH NHAU DẤU PHẨY)
38 | 113 | 1 | 0,25 m³ đổi ra cm³ được: | 250 000 cm³ | 25 000 cm³, 2 500 000 cm³, 2500 cm³
39 | 113 | 1 | 5000 cm³ đổi ra m³ được: | 0.005 m³ | 0.5 m³, 0.05 m³, 0.0005 m³
40 | 113 | 1 | 3,6 m³ đổi ra dm³ được: | 3600 dm³ | 36 dm³, 360 dm³, 36 000 dm³
41 | 113 | 1 | 1200 dm³ đổi ra m³ được: | 12 m³ | 0, 1, 2 m³, 12 m³, 120 m³
42 | 113 | 1 | 900 000 cm³ đổi ra m³ được: | 0.9 m³ | 0.09 m³, 9 m³, 90 m³
43 | 113 | 1 | 0,004 m³ đổi ra cm³ được: | 4000 cm³ | 4 cm³, 40 cm³, 400 cm³
44 | 113 | 1 | 2 500 000 cm³ đổi ra m³ được: | 2.5 m³ | 0.25 m³, 25 m³, 250 m³
45 | 113 | 1 | 1,75 m³ đổi ra dm³ được: | 1750 dm³ | 175 dm³, 17 500 dm³, 1 7500 dm³
46 | 114 | 1 | Dùng 174 m³ nước trong 12 tháng. Trung bình mỗi tháng dùng: | 14.5 m³ | 12 m³, 15 m³, 145 m³
47 | 114 | 1 | 240 m³ giảm 15% còn lại: | 204 m³ | 210 m³, 180 m³, 225 m³
48 | 114 | 1 | 25,75 dm³ đổi ra cm³ được: | 25 750 cm³ | 2575 cm³, 257 500 cm³, 2 575 000 cm³
49 | 114 | 1 | Trong ba số 25 cm³; 24,5 cm³; 25,75 dm³ số lớn nhất là: | 5 cm³ | 25 cm³, 24, 25, 75 dm³, Bằng nhau
50 | 114 | 1 | 0,48 m³ đổi ra dm³ được: | 480 dm³ | 4.8 dm³, 48 dm³, 4800 dm³
51 | 114 | 1 | 15 m³ đổi ra dm³ được: | 15 000 dm³ | 150 dm³, 1500 dm³, 150 000 dm³
52 | 114 | 1 | 10 m³ đầu giá 5973 đ. Tiền 10 m³ là: | 59 730 đ | 5 973 đ, 597 300 đ, 5973 0 đ
53 | 114 | 1 | 5 m³ sau giá 7052 đ. Tiền 5 m³ là: | 35 260 đ | 70 520 đ, 7 052 đ, 3526 đ
54 | 114 | 1 | Tổng tiền của 10 m³ và 5 m³ ở trên là: | 94 990 đ | 95 000 đ, 94 900 đ, 90 000 đ
55 | 114 | 1 | 33,2 m³ lấy 80% là: | 26.56 m³ | 24.56 m³, 28.56 m³, 2.656 m³
56 | 114 | 1 | 33,2 m³ còn trống 20% là: | 6.64 m³ | 6.24 m³, 6.44 m³, 66.4 m³
57 | 114 | 1 | 25 m³ đổi ra cm³ được: | 25 000 000 cm³ | 2 500 000 cm³, 250 000 cm³, 2500 000 cm³
58 | 114 | 1 | 2,4 m³ đổi ra dm³ được: | 2400 dm³ | 24 dm³, 240 dm³, 24 000 dm³
59 | 114 | 1 | 24,5 cm³ đổi ra dm³ được: | 0.0245 dm³ | 0.245 dm³, 2.45 dm³, 24.5 dm³
60 | 114 | 1 | 174 m³ đổi ra dm³ được: | 174 000 dm³ | 1740 dm³, 17 400 dm³, 1 740 000 dm³
61 | 115 | 1 | Hình khai triển của hình lập phương gồm mấy hình vuông bằng nhau? | 6 hình | 4 hình, 5 hình, 8 hình
62 | 115 | 1 | Hình khai triển của hình trụ gồm mấy hình tròn? | 2 hình | 0 hình, 1 hình, 3 hình
63 | 115 | 1 | Phần mặt bên của hình trụ khi khai triển là hình gì? | Hình chữ nhật | Hình vuông, Hình tròn, Hình tam giác
64 | 115 | 1 | Hình khai triển của hình hộp chữ nhật thường có bao nhiêu hình chữ nhật? | 6 hình | 4 hình, 5 hình, 8 hình
65 | 115 | 1 | Khi gấp hình khai triển, các cạnh trùng nhau phải: | Bằng nhau | Khác độ dài, Gấp đôi nhau, Không cần bằng nhau
66 | 115 | 1 | Một hình khai triển có 6 hình vuông nhưng sắp xếp sai có gấp được hình lập phương không? | Có thể có hoặc không | Luôn gấp được, Không bao giờ, Chỉ gấp được hình trụ
67 | 115 | 1 | Hình khai triển của hình trụ có 2 hình tròn là: | 2 đáy | 2 mặt bên, 2 nắp, 2 cạnh
68 | 115 | 1 | Khi khai triển hình hộp chữ nhật ta có mấy cặp mặt đối diện bằng nhau? | 3 cặp | 1 cặp, 2 cặp, 4 cặp
69 | 115 | 1 | Hình lập phương là trường hợp đặc biệt của hình hộp chữ nhật vì: | Các cạnh bằng nhau | Có 6 mặt, Có 4 mặt, Có 2 đáy
70 | 115 | 1 | Nếu cắt một hình trụ dọc theo một đường sinh rồi trải ra, phần mặt bên là: | Hình chữ nhật | Hình tròn, Hình vuông, Hình tam giác
71 | 115 | 1 | Trong hình khai triển của hình lập phương, tổng số mặt là: | 6 | 4, 5, 7
72 | 115 | 1 | Hình nào chắc chắn không thể là khai triển của hình lập phương? | 5 hình vuông | 6 hình vuông, 6 hình chữ nhật, 6 hình tròn
73 | 115 | 1 | Khi gấp khai triển, mặt nào chạm vào nhau? | Các mặt kề nhau | Các mặt đối diện, Mặt đáy luôn chạm, Không mặt nào chạm
74 | 115 | 1 | Hình khai triển của hình trụ gồm: | 1 hình chữ nhật và 2 hình tròn | 1 hình chữ nhật, 2 hình chữ nhật, 2 hình vuông
75 | 115 | 1 | Để gấp thành hình hộp chữ nhật, các mặt phải là: | Hình chữ nhật | Hình tròn, Hình tam giác, Hình thoi
76 | 116 | 1 | Hình khai triển của hình trụ gồm mặt bên là hình gì? | Hình tròn | Hình vuông, Hình chữ nhật, Hình tam giác
77 | 116 | 1 | Có bao nhiêu hình khai triển cơ bản của hình lập phương? | 8 hình | 6 hình, 11 hình, 12 hình
78 | 116 | 1 | Một hình khai triển của hình lập phương có mấy mặt? | 4 mặt | 6 mặt, 8 mặt, 5 mặt
79 | 116 | 1 | Khi khai triển hình hộp chữ nhật, ta thu được bao nhiêu hình chữ nhật? | 4 hình | 6 hình, 8 hình, 12 hình
80 | 116 | 1 | Hình khai triển của hình trụ gồm mấy hình tròn đáy? | 1 hình | 2 hình, 3 hình, Không có hình nào
81 | 116 | 1 | Để gấp được một hình lập phương, các mặt trong hình khai triển phải là hình gì? | Hình thoi | Hình chữ nhật, Hình vuông, Hình tam giác
82 | 116 | 1 | Hình khai triển của hình trụ có phần mặt bên là hình chữ nhật. Chiều dài hình chữ nhật đó bằng gì? | Chiều cao hình trụ | Chu vi đáy hình trụ, Đường kính đáy, Bán kính đáy
83 | 116 | 1 | Nếu một hình khai triển chỉ có 5 hình vuông bằng nhau, ta có thể gấp thành hình lập phương không? | Có | Không, Tùy vào cách sắp xếp, Chỉ gấp được một nửa
84 | 116 | 1 | Hình hộp chữ nhật là trường hợp đặc biệt của hình lập phương, đúng hay sai? | Đúng | Sai, Cả hai đều đúng, Không xác định
85 | 116 | 1 | Trong hình khai triển của hình hộp chữ nhật, có mấy cặp mặt đối diện bằng nhau? | 2 cặp | 3 cặp, 4 cặp, 6 cặp
86 | 116 | 1 | Diện tích toàn phần của hình lập phương bằng diện tích một mặt nhân với mấy? | Nhân 5 | Nhân 4, Nhân 6, Nhân 8
87 | 116 | 1 | Một hình khai triển gồm 6 hình vuông xếp thành hàng ngang liên tiếp có gấp được hình lập phương không? | Có | Không, Gấp được nếu cắt bớt, Chỉ gấp được hình chữ nhật
88 | 116 | 1 | Hình khai triển của hình hộp chữ nhật có thể gồm các mặt là hình vuông không? | Luôn luôn | Không bao giờ, Có thể nếu là trường hợp đặc biệt, Chỉ khi hình đó là hình trụ
89 | 116 | 1 | Khi gấp hình khai triển thành hình khối, các cạnh trùng nhau phải có độ dài như thế nào? | Khác nhau | Bằng nhau, Cạnh này gấp đôi cạnh kia, Không quan trọng
90 | 116 | 1 | Hình nào sau đây KHÔNG PHẢI là hình khối cơ bản đã học? | Hình hộp chữ nhật | Hình lập phương, Hình cầu, Hình trụ
91 | 117 | 1 | Diện tích xung quanh của hình hộp chữ nhật là gì? | Tổng diện tích 4 mặt bên | Tổng diện tích 6 mặt, Diện tích mặt đáy, Tổng diện tích 2 mặt đáy
92 | 117 | 1 | Công thức tính diện tích xung quanh của hình hộp chữ nhật là gì? | (a+b) x 2 x h | a x b x h, (a+b) x h, a x b x 2
93 | 117 | 1 | Một hình hộp chữ nhật có chu vi đáy là 20 cm, chiều cao là 5 cm. Diện tích xung quanh là: | 100 cm2 | 50 cm2, 20 cm2, 25 cm2
94 | 117 | 1 | Bước đầu tiên để tính diện tích xung quanh khi biết chiều dài, chiều rộng và chiều cao là gì? | Tính chu vi đáy | Tính diện tích đáy, Nhân 3 kích thước với nhau, Trừ các kích thước
95 | 117 | 1 | Hình hộp chữ nhật có bao nhiêu mặt bên? | 4 mặt | 2 mặt, 6 mặt, 8 mặt
96 | 117 | 1 | Nếu đơn vị đo của các cạnh không giống nhau, ta phải làm gì trước khi tính diện tích? | Đổi về cùng một đơn vị đo | Tính bình thường, Chỉ tính các cạnh cùng đơn vị, Bỏ qua bài toán
97 | 117 | 1 | Một hình hộp chữ nhật có chiều dài 5cm, chiều rộng 3cm, chiều cao 2cm. Chu vi đáy là bao nhiêu? | 16 cm | 8 cm, 15 cm, 10 cm
98 | 117 | 1 | Với hình hộp chữ nhật có chu vi đáy P và chiều cao c, diện tích xung quanh Sxq được tính bằng: | Sxq = P x c | Sxq = P + c, Sxq = P / c, Sxq = P x 2 + c
99 | 117 | 1 | Diện tích xung quanh của hình hộp chữ nhật có chiều dài 8m, chiều rộng 6m và chiều cao 5m là: | 140 m2 | 70 m2, 240 m2, 480 m2
100 | 117 | 1 | Một cái hòm tôn không có nắp dạng hình hộp chữ nhật. Khi tính diện tích tôn để làm hòm, ta cần tính diện tích nào? | Diện tích xung quanh cộng với diện tích 1 mặt đáy | Diện tích xung quanh, Diện tích toàn phần, Chỉ tính diện tích 2 mặt đáy
101 | 117 | 1 | Diện tích xung quanh của hình hộp chữ nhật có chiều dài 1.2m, chiều rộng 0.8m, chiều cao 0.5m là: | 1 m2 | 2 m2, 0.5 m2, 1.5 m2
102 | 117 | 1 | Khi tăng chiều cao của hình hộp chữ nhật lên 2 lần và giữ nguyên chu vi đáy thì diện tích xung quanh thay đổi thế nào? | Tăng 2 lần | Không đổi, Tăng 4 lần, Giảm 2 lần
103 | 117 | 1 | Một hình hộp chữ nhật có diện tích xung quanh là 60 cm2, chu vi đáy là 12 cm. Chiều cao của hình đó là: | 5 cm | 10 cm, 6 cm, 720 cm
104 | 117 | 1 | Muốn tính diện tích xung quanh của HHCN, ta lấy chu vi mặt đáy nhân với chiều cao (cùng một đơn vị đo). Đúng hay sai? | Đúng | Sai, Thiếu điều kiện, Cả A và B đều sai
105 | 117 | 1 | Diện tích xung quanh của hình hộp chữ nhật có chiều dài 4/5 m, chiều rộng 2/5 m, chiều cao 1/3 m là: | 4/5 m2 | 2/5 m2, 12/15 m2, 0.8 m2
106 | 118 | 1 | Diện tích toàn phần của hình hộp chữ nhật là: | Tổng diện tích 6 mặt | Tổng diện tích 4 mặt bên, Diện tích hai mặt đáy, Tổng diện tích 4 mặt đáy
107 | 118 | 1 | Công thức tính diện tích toàn phần (Stp) là: | Stp = Sxq + Sđáy x 2 | Stp = Sxq + Sđáy, Stp = Sxq x 2, Stp = Sđáy x 6
108 | 118 | 1 | Diện tích toàn phần (Stp) của hình hộp chữ nhật bao gồm bao nhiêu mặt? | 6 mặt | 4 mặt, 5 mặt, 8 mặt
109 | 118 | 1 | Nếu một hình hộp chữ nhật có diện tích xung quanh là 2700 cm2 và diện tích toàn phần là 3700 cm2, thì diện tích của hai mặt đáy là bao nhiêu? | 1000 cm2 | 500 cm2, 2700 cm2, 3700 cm2
110 | 118 | 1 | Tính Stp của hình hộp chữ nhật có Sxq = 100 cm2 và diện tích một mặt đáy là 20 cm2? | 140 cm2 | 120 cm2, 200 cm2, 80 cm2
111 | 118 | 1 | Một hình hộp chữ nhật có chiều dài 25cm, chiều rộng 20cm và chiều cao 30cm. Diện tích hai mặt đáy là: | 1000 cm2 | 500 cm2, 250 cm2, 600 cm2
112 | 118 | 1 | Muốn tính Stp của hình hộp chữ nhật, ta lấy diện tích xung quanh cộng với diện tích của mấy mặt đáy? | 2 mặt đáy | 1 mặt đáy, 3 mặt đáy, 4 mặt đáy
113 | 118 | 1 | Một hình hộp chữ nhật có chiều dài 8cm, chiều rộng 6cm, chiểu cao 5cm. Diện tích toàn phần là: | 236 cm2 | 140 cm2, 96 cm2, 200 cm2
114 | 118 | 1 | Một chiếc hộp hình hộp chữ nhật KHÔNG CÓ NẮP. Khi tính diện tích toàn phần ta cộng diện tích xung quanh với mấy mặt đáy? | 1 mặt đáy | 2 mặt đáy, 3 mặt đóy, Không cộng mặt nào
115 | 118 | 1 | Một hình hộp chữ nhật có diện tích toàn phần 6250 cm2, diện tích hai đáy là 2500 cm2. Hỏi diện tích xung quanh là bao nhiêu? | 3750 cm2 | 8750 cm2, 1250 cm2, 5000 cm2
116 | 118 | 1 | Diện tích toàn phần của một hình hộp chữ nhật có kích thước a = 5cm, b = 4cm, c = 3cm là: | 94 cm2 | 54 cm2, 60 cm2, 47 cm2
117 | 118 | 1 | Đơn vị đo diện tích thường dùng là: | cm2 | cm, cm3, kg
118 | 118 | 1 | Nếu gấp tất cả các kích thước của hình hộp chữ nhật lên 2 lần thì diện tích toàn phần sẽ thay đổi như thế nào? | Tăng 4 lần | Tăng 2 lần, Tăng 6 lần, Tăng 8 lần
119 | 118 | 1 | Diện tích toàn phần của hình hộp chữ nhật khi a = 2m, b = 1m, c = 1m: | 10 m2 | 8 m2, 6 m2, 12 m2
120 | 118 | 1 | Khi tính Stp, điều kiện tiên quyết là: | Kích thước phải cùng một đơn vị đo | Chỉ cần chiều cao cùng đơn vị, Không cần cùng đơn vị, Chỉ cần diện tích cùng đơn vị
121 | 119 | 1 | Diện tích xung quanh của hình hộp chữ nhật là tổng diện tích của: | 4 mặt bên | 2 mặt đáy, 6 mặt, 1 mặt
122 | 119 | 1 | Diện tích toàn phần của hình hộp chữ nhật bằng: | Sxq + 2 đáy | Sxq, Sxq + 1 đáy, Chu vi đáy
123 | 119 | 1 | Nếu biết Stp và Sxq thì diện tích một đáy bằng: | (Stp - Sxq) : 2 | Stp - Sxq, (Stp + Sxq) : 2, Sxq : 2
124 | 119 | 1 | Một hình hộp chữ nhật có chiều dài 8 cm, rộng 5 cm, cao 3 cm. Diện tích xung quanh là: | 78 cm2 | 156 cm2, 104 cm2, 130 cm2
125 | 119 | 1 | Cùng hình ở câu 4. Diện tích toàn phần là: | 190 cm2 | 78 cm2, 156 cm2, 208 cm2
126 | 119 | 1 | Công thức diện tích xung quanh của hình hộp chữ nhật là: | Sxq = (d + r) × h × 2 | Sxq = d × r × h, Sxq = d × r × 2, Sxq = (d + r + h) × 2
127 | 119 | 1 | Công thức diện tích toàn phần của hình hộp chữ nhật là: | Stp = Sxq + 2 × (d × r) | Stp = Sxq + d × r, Stp = d × r × h, Stp = (d + r) × h
128 | 119 | 1 | Đổi 5000 cm2 ra dm2 được: | 5 dm2 | 0.5 dm2, 50 dm2, 500 dm2
129 | 119 | 1 | Đổi 8 dm2 ra cm2 được: | 8000 cm2 | 80 cm2, 800 cm2, 80000 cm2
130 | 119 | 1 | Nếu Sxq = 200 cm2 và diện tích một đáy = 60 cm2 thì Stp là: | 260 cm2 | 220 cm2, 320 cm2, 400 cm2
131 | 119 | 1 | Một hộp không nắp cần giấy để bọc 4 mặt bên. Cần tính: | Diện tích xung quanh | Diện tích một đáy, Diện tích toàn phần, Thể tích
132 | 119 | 1 | Một hộp có nắp cần giấy bọc cả 6 mặt. Cần tính: | Diện tích toàn phần | Diện tích xung quanh, Chu vi đáy, Thể tích
133 | 119 | 1 | Hình lập phương là trường hợp đặc biệt của hình hộp chữ nhật vì: | Các cạnh bằng nhau | Có 4 mặt, Có 6 mặt, Có 2 đáy
134 | 119 | 1 | Một hình lập phương cạnh 4 cm có Sxq bằng: | 96 cm2 | 16 cm2, 64 cm2, 256 cm2
135 | 119 | 1 | Một hình lập phương cạnh 4 cm có Stp bằng: | 96 cm2 | 64 cm2, 128 cm2, 256 cm2
136 | 120 | 1 | Hình lập phương có mấy mặt bằng nhau? | 6 mặt | 4 mặt, 8 mặt, 12 mặt
137 | 120 | 1 | Diện tích một mặt của hình lập phương có cạnh a là: | a × a | a × 4, a × 6, a × a × 4
138 | 120 | 1 | Công thức tính diện tích xung quanh của hình lập phương cạnh a là: | Sxq = (a × a) × 4 | Sxq = (a × a) × 6, Sxq = a × 4, Sxq = a × a
139 | 120 | 1 | Công thức tính diện tích toàn phần của hình lập phương cạnh a là: | Stp = (a × a) × 6 | Stp = (a × a) × 4, Stp = a × 6, Stp = a × a
140 | 120 | 1 | Một hình lập phương có cạnh 2cm. Diện tích xung quanh của nó là: | 16 cm² | 8 cm², 24 cm², 4 cm²
141 | 120 | 1 | Một hình lập phương có cạnh 3dm. Diện tích toàn phần của nó là: | 54 dm² | 36 dm², 9 dm², 27 dm²
142 | 120 | 1 | Nếu cạnh của hình lập phương gấp lên 3 lần thì diện tích xung quanh gấp lên mấy lần? | 9 lần | 3 lần, 6 lần, 12 lần
143 | 120 | 1 | Diện tích toàn phần của hình lập phương có cạnh 1,1m là: | 7,26 m² | 4 84 m², 1 21 m², 6 6 m²
144 | 120 | 1 | Một cái hộp hình lập phương không có nắp cạnh 5dm. Diện tích giấy cần để dán mặt ngoài của hộp là: | 125 dm² | 100 dm², 150 dm², 25 dm²
145 | 120 | 1 | Hình lập phương là hình hộp chữ nhật đặc biệt có: | Chiều dài = Chiều rộng = Chiều cao | Chiều dài > Chiều rộng, Có 6 mặt là hình chữ nhật, Có 12 cạnh không bằng nhau
146 | 120 | 1 | Muốn tính diện tích toàn phần hình lập phương, ta lấy diện tích một mặt nhân với: | 6 | 4, 12, 2
147 | 120 | 1 | Một hình lập phương có diện tích một mặt là 25 cm². Cạnh của hình lập phương đó là: | 5 cm | 4 cm, 6 cm, 25 cm
148 | 120 | 1 | Một hình lập phương có diện tích xung quanh là 100 cm². Diện tích một mặt của nó là: | 25 cm² | 20 cm², 50 cm², 400 cm²
149 | 120 | 1 | Một hình lập phương có diện tích toàn phần là 96 dm². Diện tích một mặt của nó là: | 16 dm² | 24 dm², 6 dm², 12 dm²
150 | 120 | 1 | Nếu diện tích một mặt của hình lập phương tăng 4 lần thì cạnh của nó tăng: | 2 lần | 4 lần, 8 lần, 16 lần
151 | 122 | 1 | Công thức tính thể tích của hình hộp chữ nhật có 3 kích thước a, b, c là: | V = a × b × c | V = a + b + c, V = a × b + c, V = a + b × c
152 | 122 | 1 | Muốn tính thể tích hình hộp chữ nhật, ta lấy chiều dài nhân chiều rộng rồi nhân với: | Chiều cao (c) | Chu vi đáy, Diện tích đáy, Chiều rộng
153 | 122 | 1 | Đơn vị đo thể tích thường gặp là: | m² | cm², dm², cm, dm, m, cm³, dm³, m³, kg, g, tấn
154 | 122 | 1 | Nếu một hình hộp chữ nhật có ba kích thước: 2 dm, 3 dm, 4 dm thì thể tích là: | 24 dm³ | 12 dm³, 9 dm³, 18 dm³
155 | 122 | 1 | Một hình hộp chữ nhật có chiều dài 10 cm, chiều rộng 5 cm, chiều cao 2 cm. Thể tích là: | 50 cm³ | 100 cm³, 150 cm³, 20 cm³
156 | 122 | 1 | Công thức V = S × c (trong đó S là diện tích đáy, c là chiều cao) có dùng để tính thể tích hình hộp chữ nhật không? | Có dùng được | Không dùng được, Chỉ dùng cho hình lập phương, Chỉ dùng cho hình tròn
157 | 122 | 1 | Một bể cá dài 2 m, rộng 1,5 m, cao 1 m. Thể tích bể cá đó là: | 3 m³ | 4, 5 m³, 2 m³, 3, 5 m³
158 | 122 | 1 | Nếu gấp chiều dài hình hộp chữ nhật lên 2 lần, các kích thước khác giữ nguyên thì thể tích tăng mấy lần? | 2 lần | 4 lần, 6 lần, 8 lần
159 | 122 | 1 | Nếu gấp tất cả ba kích thước của hình hộp chữ nhật lên 2 lần thì thể tích tăng mấy lần? | 8 lần | 2 lần, 4 lần, 6 lần
160 | 122 | 1 | Một hình hộp chữ nhật có diện tích đáy là 20 cm², chiều cao c là 5 cm. Thể tích là: | 100 cm³ | 40 cm³, 25 cm³, 200 cm³
161 | 122 | 1 | Nếu thể tích của hình hộp chữ nhật là 60 cm³, chiều dài 5 cm, chiều rộng 4 cm thì chiều cao c là: | 3 cm | 2 cm, 4 cm, 5 cm
162 | 122 | 1 | 1 m³ bằng bao nhiêu dm³? | 1000 dm³ | 10 dm³, 100 dm³, 10000 dm³
163 | 122 | 1 | Một chiếc hộp sữa 10 cm, 5 cm và 20 cm có thể tích là: | 1000 cm³ | 500 cm³, 200 cm³, 1500 cm³
164 | 122 | 1 | Hình hộp chữ nhật đặc biệt có ba kích thước bằng nhau được gọi là: | Hình lập phương | Hình hộp vuông, Hình cầu, Hình trụ
165 | 122 | 1 | Diện tích một mặt của hình hộp chữ nhật là 15 cm², chiều cao c là 4 cm. Thể tích là: | 60 cm³ | 30 cm³, 19 cm³, 40 cm³
166 | 128 | 1 | Muốn tính diện tích xung quanh HHCN, ta lấy chu vi đáy nhân với: | Chiều cao (c) | Chiều dài, Chiều rộng, Diện tích đáy
167 | 128 | 1 | Thể tích HLP cạnh 2 cm là: | 8 cm³ | 4 cm³, 12 cm³, 16 cm³
168 | 128 | 1 | HHCN có 3 kích thước: 4dm, 3dm, 2dm. Thể tích là: | 24 dm³ | 24 dm², 14 dm³, 9 dm³
169 | 128 | 1 | Sxq của HLP cạnh 5m là: | 100 m² | 25 m², 150 m², 125 m²
170 | 128 | 1 | Diện tích toàn phần HLP bằng diện tích một mặt nhân với mấy? | 6 | 2, 4, 8
171 | 128 | 1 | HHCN dài 5cm, rộng 4cm, cao 3cm. Diện tích mặt đáy là: | 20 cm² | 12 cm², 15 cm², 60 cm²
172 | 128 | 1 | HLP có cạnh 0,5m. Thể tích là: | 25 m³ | 0, 0, 125 m³, 1, 25 m³, 0, 125 m²
173 | 128 | 1 | Chu vi đáy của HHCN là 20cm, cao c là 5cm. Sxq là: | 100 cm² | 100 cm³, 50 cm², 400 cm²
174 | 128 | 1 | Một hình khai triển của HHCN gồm có mấy mặt? | 6 mặt | 4 mặt, 5 mặt, 8 mặt
175 | 128 | 1 | Đơn vị đo thể tích thường gặp là: | cm³ | cm, cm², kg
176 | 128 | 1 | HLP có Sxq là 36 cm². Thể tích của nó là: | 27 cm³ | 9 cm³, 54 cm³, 81 cm³
177 | 128 | 1 | Gấp cạnh HLP lên 3 lần thì thể tích tăng lên: | 27 lần | 3 lần, 9 lần, 81 lần
